Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
0.9.6,external/storm-kafka/src/test/storm/kafka/bolt/KafkaBoltTest.java,219,9,1,216,27,1038,505,115.333336,24,true
0.9.6,storm-core/src/jvm/backtype/storm/task/TopologyContext.java,374,12,1,94,20,1132,505,94.333336,7.8333335,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,9380,13,1,7119,4337,1473,505,113.30769,547.61536,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/TopologySummary.java,420,8,1,223,223,1233,505,154.125,27.875,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,550,5,0,319,319,673,505,134.6,63.8,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,1183,10,1,1000,236,1243,505,124.3,100,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/SupervisorInfo.java,2094,11,1,2002,1288,1279,505,116.27273,182,true
0.9.6,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,183,5,0,115,115,673,505,134.6,23,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,219,5,0,128,128,673,505,134.6,25.6,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,380,5,0,234,234,673,505,134.6,46.8,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/StormBase.java,1238,6,0,1211,1211,709,505,118.166664,201.83333,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,171,5,0,105,105,673,505,134.6,21,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,581,5,0,342,342,673,505,134.6,68.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,171,5,0,105,105,673,505,134.6,21,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,179,5,0,115,115,673,505,134.6,23,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,324,6,0,172,172,709,505,118.166664,28.666666,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,97,5,0,66,66,673,505,134.6,13.2,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/NodeInfo.java,577,6,0,556,556,709,505,118.166664,92.666664,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/KillOptions.java,143,5,0,86,86,673,505,134.6,17.2,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/JavaObject.java,215,5,0,132,132,673,505,134.6,26.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/InvalidTopologyException.java,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/GlobalStreamId.java,162,5,0,98,98,673,505,134.6,19.6,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/GetInfoOptions.java,426,5,0,422,422,673,505,134.6,84.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/ExecutorSummary.java,321,5,0,180,180,673,505,134.6,36,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/ExecutorStats.java,537,5,0,348,348,673,505,134.6,69.6,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/ExecutorInfo.java,166,5,0,94,94,673,505,134.6,18.8,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/ErrorInfo.java,257,5,0,147,147,673,505,134.6,29.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/DistributedRPCInvocations.java,910,5,0,601,601,673,505,134.6,120.2,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/DistributedRPC.java,401,5,0,257,257,673,505,134.6,51.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/DRPCRequest.java,162,5,0,98,98,673,505,134.6,19.6,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/DRPCExecutionException.java,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/Credentials.java,223,6,0,120,120,709,505,118.166664,20,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/ComponentCommon.java,384,5,0,231,231,673,505,134.6,46.2,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java,304,5,0,180,180,673,505,134.6,36,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/BoltStats.java,863,5,0,536,536,673,505,134.6,107.2,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/Bolt.java,171,5,0,105,105,673,505,134.6,21,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/AuthorizationException.java,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/Assignment.java,1084,6,0,983,983,709,505,118.166664,163.83333,false
0.9.6,storm-core/src/jvm/backtype/storm/generated/AlreadyAliveException.java,130,5,0,82,82,673,505,134.6,16.4,false
0.9.6,storm-core/src/jvm/backtype/storm/utils/ExtendedThreadPoolExecutor.java,403,7,1,402,67,1165,505,166.42857,57.42857,true
0.9.6,storm-core/src/jvm/backtype/storm/spout/ShellSpout.java,42,7,2,42,6,394,203,56.285713,6,true
0.9.6,storm-core/src/jvm/backtype/storm/security/auth/SaslTransportPlugin.java,62,6,1,24,4,1163,505,193.83333,4,true
0.9.6,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,44,6,1,31,11,1163,505,193.83333,5.1666665,true
0.9.6,storm-core/src/jvm/backtype/storm/task/IBolt.java,14,7,1,0,0,1032,505,147.42857,0,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/trident/TridentCollectorMock.java,312,6,1,312,52,1215,505,202.5,52,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/trident/TestTransactionalTridentEmitter.java,558,6,1,558,93,1215,505,202.5,93,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/TestPartitionManager.java,702,6,1,702,117,1215,505,202.5,117,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/TestEventHubSpout.java,423,9,1,420,70,1360,505,151.11111,46.666668,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/TestEventData.java,282,6,1,282,47,1215,505,202.5,47,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/StateStoreMock.java,324,6,1,324,54,1215,505,202.5,54,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/SpoutOutputCollectorMock.java,366,6,1,366,61,1215,505,202.5,61,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/PartitionManagerCallerMock.java,630,6,1,630,105,1215,505,202.5,105,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/EventHubSpoutCallerMock.java,576,6,1,576,96,1215,505,202.5,96,true
0.9.6,external/storm-eventhubs/src/test/java/org/apache/storm/eventhubs/spout/EventHubReceiverMock.java,669,9,1,630,105,1369,505,152.11111,70,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/TridentPartitionManager.java,561,9,1,546,91,1369,505,152.11111,60.666668,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/TransactionalTridentEventHubSpout.java,396,6,1,396,66,1215,505,202.5,66,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/TransactionalTridentEventHubEmitter.java,1005,9,1,1002,167,1369,505,152.11111,111.333336,true
0.9.6,external/storm-eventhubs/src/main/java/org/apache/storm/eventhubs/trident/Partitions.java,246,6,1,246,41,1215,505,202.5,41,true
