Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Oversampling,No selection,Sensitive threshold,0,0,1097,19,NaN,0,0.818164372,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Oversampling,No selection,Sensitive threshold,2,24,1073,17,0.076923077,0.105263158,0.714100657,0.070604485,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Oversampling,No selection,Sensitive threshold,1,9,1088,18,0.1,0.052631579,0.510627069,0.057903952,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Oversampling,No selection,Sensitive learning,0,0,1097,19,NaN,0,0.84493595,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Oversampling,No selection,Sensitive learning,2,31,1066,17,0.060606061,0.105263158,0.714100657,0.056535982,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Oversampling,No selection,Sensitive learning,1,9,1088,18,0.1,0.052631579,0.510627069,0.057903952,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Oversampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Oversampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Oversampling,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Oversampling,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Oversampling,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Oversampling,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Oversampling,Best first selection,Sensitive learning,19,1097,0,0,0.01702509,1,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Oversampling,Best first selection,Sensitive learning,19,1097,0,0,0.01702509,1,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Oversampling,Best first selection,Sensitive learning,19,1097,0,0,0.01702509,1,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Undersampling,No selection,No cost sensitive,0,0,1097,19,NaN,0,0.824017656,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Undersampling,No selection,No cost sensitive,3,33,1064,16,0.083333333,0.157894737,0.714412513,0.088782244,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Undersampling,No selection,No cost sensitive,1,9,1088,18,0.1,0.052631579,0.530417886,0.057903952,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Undersampling,No selection,Sensitive threshold,0,0,1097,19,NaN,0,0.824017656,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Undersampling,No selection,Sensitive threshold,3,33,1064,16,0.083333333,0.157894737,0.714412513,0.088782244,,,,,
